title,date,address,category,time,posterLink,posterUrl
L'Oreal Paris,8/17/2024,TP Hồ Chí Minh,event,19:00,,
Từ Đây... Từ Nay... Đà Lạt,9/1/2024,TP Đà Lạt,show,17:00,,
Từ Đây... Từ Nay... Hà Nội,9/14/2024,Hà Nội,show,20:00,,
Soul of The Forest,9/28/2024,Flamingo Đại Lải,minishow,20:00,,
Phòng Trà Bến Thành,10/4/2024,TP Hồ Chí Minh,minishow,20:00,,
Âm Thanh Bên Thông,10/12/2024,Hạ Long - Quảng Ninh,minishow,20:00,,
Từ Đây... Từ Nay... Chapter  Atlanta,10/20/2024,Atlanta,show,20:00,,
Từ Đây... Từ Nay... Chapter Utah,10/27/2024,Utah,show,20:00,,
EP: Từ Đây Từ nay,11/8/2024,TP Hồ Chí Minh,Livestream,19:00,,
Fan Meeting Duy Khánh,11/9/2024,TP Hồ Chí Minh,FMT,14:00,,
VN International Fashion Week 2024,11/13/2024,Hà Nội,event,18:00,,
Ecopark - Vinh,11/17/2024,Vinh,event,11:00,,
Fan Meeting Neko Lê,11/17/2024,TP Hồ Chí Minh,FMT,16:00,,
Phòng Trà Bến Thành,11/21/2024,TP Hồ Chí Minh,minishow,20:00,https://www.facebook.com/share/p/1DWUqANkiQ/?mibextid=WC7FNe,https://res.cloudinary.com/dwmpmry2n/image/upload/v1732165089/2111_te0gc5.jpg
Kay Trần & Tăng Phúc mini Fanmeeting [Khách hàng là thượng đế],11/22/2024,TP Đà Lạt,FMT,17:00,https://www.facebook.com/story.php?story_fbid=875279604769217&id=100068615573817&mibextid=WC7FNe&rdid=N1iSA8Xv6ob3HQ3b#,https://res.cloudinary.com/dwmpmry2n/image/upload/v1734723916/22112024_onikzz.jpg
Mây Lang Thang,11/23/2024,TP Đà Lạt,minishow,17:00,https://maylangthang.com.vn/mp_show/tp-2311/,https://res.cloudinary.com/dwmpmry2n/image/upload/v1732165253/mlt2311_jvwbqc.png
Từ Đây... Từ Nay... Slay Hà Nội (đêm 1),11/24/2024,Hà Nội,show,20:30,https://www.facebook.com/profile.php?id=61562460471546,https://res.cloudinary.com/dwmpmry2n/image/upload/v1732165485/slay1_ofhrte.jpg
Từ Đây... Từ Nay... Slay Hà Nội (đêm 2),11/25/2024,Hà Nội,show,21:00,https://www.facebook.com/profile.php?id=61562460471546,https://res.cloudinary.com/dwmpmry2n/image/upload/v1732165574/slay2_apg2pg.jpg
Echoes of Love,11/30/2024,TP Hồ Chí Minh,event,20:00,,https://res.cloudinary.com/dwmpmry2n/image/upload/v1732166616/3011_keaout.jpg
Sao Live Đỉnh Chóp,12/6/2024,TP Hồ Chí Minh,Livestream,20:00,,https://res.cloudinary.com/dwmpmry2n/image/upload/v1734723917/livewNkshopee_tc9e28.jpg
Booth Special BIA SAIGON,12/7/2024,TP Hồ Chí Minh,event,18:00,,https://res.cloudinary.com/dwmpmry2n/image/upload/v1734723916/07122024_hus6za.jpg
Fan Meeting Strong (Trọng Hiếu),12/7/2024,TP Hồ Chí Minh,FMT,20:00,,
