title,date,showLink,role,descipt
Anh trai vượt ngàn chông gai mùa 1,6/29/2024,https://www.youtube.com/watch?v=8NbKhGsnJyI&list=PLt3LgMEKzFxy03fvdFk_rEtjfVJfD8pUq,Thí sinh,Dừng chân ở tập 13
Thanh Âm Hạnh Phúc 2 - TẬP 18 | Ca sĩ Tăng Phúc (23/8/2024),8/23/2024,https://youtu.be/zJJ7lKFx294?si=M3ywxVwueq6zZe2I,PV,"Quang Bảo pvan, phát trên HTV7. Kể chuyện bán đàn trong đây nè"
"BB Trần muốn cưới Binz, Tăng Phúc miễn cưỡng chọn Neko Lê I HỎI & HANG 09",8/20/2024,https://youtu.be/EvQ5AlohcYw?si=WZzEGMO9ZBlQy3q0,Hỏi & Hang,Tam trụ Sài Gòn
"Ở ĐÂY CÓ AI? | TẬP 3 OFFICIAL - KAY TRẦN NẮM GIỮ BÍ MẬT ""ĐỘNG TRỜI"" KHIẾN TĂNG PHÚC PHẢI CẦU CỨU",8/18/2024,https://youtu.be/E-jFsGWb06E?si=sHbOrPFaL-rzjVLY,Ở đây có ai,Kay vs Phúc nè
360HOT - Giao lưu Bộ ba anh tài ST. Sơn Thạch - Tăng Phúc - Neko,7/29/2024,https://www.youtube.com/live/xjUwX90cH4U?si=j1GdO7hQOvXDcr99,360HOT,"Ồn, sự debut của cái tên Hải Ly"
"CS Tăng Phúc: Team ""mỏ hỗn"" có lẽ thuộc về BB Trần, Duy Khánh, Quốc Thiên và Neko Lê",6/29/2024,https://youtu.be/5UWyZJMhhXs?si=WC6agTAg9TD_1b-k,8saigon,"Phúc đang ốm này, tám về mấy anh trong ATVNCG"
Nhanh như chớp mùa 5,6/8/2024,https://youtu.be/HamZElmnXl4?si=CLo1hLUfY21iYlBq,Người chơi,Tập 24
"Tăng Phúc: Tôi không muốn ""chìm"" khi tham gia Anh Trai Vượt Ngàn Chông Gai... | Tổng Đài Anh Tài E.4",5/11/2024,https://youtu.be/9P3EODRJp9s?si=bIoEhc7kSG3MSyRj,PV,PV trước khi tham gia ATVNCG
Mái ấm gia đình Việt,4/5/2024,https://youtu.be/mVRfra1pFbM?si=yypiEnE7NG8l98yg,Khách mời,Tập 78
Hay hay hên,6/27/2023,https://youtu.be/1R6m4UnSaHE?si=BZG3SzVvqazT2cAg,Khách mời,Tập 18
Nhà trọ Destiny (mùa 2),10/19/2023,https://youtu.be/MVk80lUZqGY?si=raITd7c7nZWJ1G59,Khách mời,"Tập 1+2: Tập này cũng vui, Phúc vs Vũ vs Nhi hợp cạ nhau"
Nhanh như chớp mùa 4,1/7/2023,https://youtu.be/QNXaKrQG45A?si=Ab7MZYmH08zKXNIM,Người chơi,Tập 23
Hành trình rực rỡ,9/10/2023,https://youtu.be/J195SHK4oKE?si=FFIIkVQGClwlB6tO,Khách mời,Tập 16+17
Gặp gỡ ‘Chàng Lúa' Tăng Phúc của Ca Sĩ Mặt Nạ - chủ nhân loạt Hit triệu view,10/19/2022,https://youtu.be/Dup6vUqLaIQ?si=Nw4uBdw1QvDof2zp,PV,
“Chàng Lúa” Tăng Phúc: Nhiều khi em cũng thấy thương anti-fan,10/4/2022,https://youtu.be/Do_Id-QNsu4?si=uvA5-6FvLlShf8mL,8saigon,Nói về cái page đó 
Ca sĩ mặt nạ mùa 1,9/28/2022,https://youtu.be/XgW9Jy_eGxc?si=hIAqDUCLbTmuZHYm,Người chơi,"Thí sinh (Chàng Lúa)
Dừng chân ở tập 11 (xuất hiện tập 1, tập 3, tập 7, tập 11)"
Chọn đâu cho đúng mùa 3,7/25/2022,https://youtu.be/J97Y22DsKkI?si=bf-1yZvJOSmzEeeY,Người chơi,Tập 13
"Ơn Giời Cậu Đây Rồi Mùa 8 Tập 2 | Tăng Phúc ôm Dương Lâm từ phía sau, tự nhận mình là vợ và cái kết",6/17/2022,https://youtu.be/Ktjrl3jKJlc?si=wzjKIf7BbrB6K8B7,Người chơi,Phúc và Pica 
Tăng Phúc: Đừng nghĩ em giàu. Em vẫn ở nhà thuê và chưa có xe,5/28/2022,https://youtu.be/7cLkTW-bGOY?si=fVhF3RlbYa50aF0o,8saigon,"Phúc kể về mấy mối tình thời học sinh, cute lắm"
Ẩn số hoàn hảo,9/4/2022,https://youtu.be/S3y4Zms_Ho8?si=pXUdp2jnvTNUXoSp,Thí sinh,Quán quân
"Gọi tỏ tình Tăng Phúc, Võ Đăng Khoa nhận kết cục lạnh lùng",3/7/2022,https://youtu.be/JohwLKelgnk?si=-qzbTVpT3lo5Y3Bu,PV,"Võ Đăng Khoa bảo Phúc toàn hát nhạc tình yêu mà không biết gì về yêu.
""Sao anh biết em không thất tình, em thích người ta mà người ta ko thích em thôi"""
"[Tập 11 - FULLSHOW Tài Tám Tếu]Tăng Phúc, Nam Trung ""Đầy Lý Lẽ, Lập Trường, Tự Tin, Quyết Đoán""",12/5/2021,https://youtu.be/BcECaa0TXLI?si=W3nJ7KD6HCC6lgS6,Người chơi,"Vui, nhanh miệng, tếu táo"
"Phát Hồ ngây thơ được Trường Giang hỗ trợ đoán đúng Tăng Phúc, live ""Thế thái"" cực hay |Lạ Lắm À Nha",11/29/2021,https://youtu.be/lSq9maA5Bek?si=75ivnucK2CA2EGH4,Người chơi,"Mng nghe ban giám khảo có chuyên môn nhận xét về giọng hát của Phúc nè: Làn hơi, hơi thở rất tốt, nghe cách xử lý ấy, bình thường học trường nhạc ra, bọn em nghe cái là biết. Nhân vật này bài bản"
Trương Thảo Nhi tự tin khẳng định mình là MẪU NGƯỜI YÊU HOÀN HẢO mà Tăng Phúc TÌM KIẾM BẤY LÂU,6/14/2021,https://youtu.be/5dc6MUumZRE?si=s7laz-QDEWrl60IH,PV,Nhi với Phúc nói chuyện rất mượt nha
Tăng Phúc - Trương Thảo Nhi HÀNH TRÌNH đi lên từ CA SĨ 1 HIT và HIỆN TƯỢNG COVER nhờ CLKCN,6/7/2021,https://youtu.be/mDad4oMvyjI?si=vq-qSqd3LrXkwsyn,PV,"Nhi với Phúc nói chuyện với nhau vui quá trời: Kể chuyện Phúc rớt trường Kiến Trúc,  nên phải học Kiến Trúc của Hồng Bàng (thi đc 18d)"
"Tò Mò Showbiz | Gặp Gỡ Chàng Trai Cover Tăng Phúc Với Hit Đình Đám ""Chỉ Là Không Cùng Nhau""",5/17/2021,https://youtu.be/8yaazO_itVo?si=S7J9eeMWlb5ieIy2,PV,"PVan cùng Huy.
Nói về chuyện Phúc khó tính, khá cứng nhắc..."
Nhanh như chớp mùa 3,10/3/2020,https://youtu.be/h_ttPYJ65Dc?si=YQaVI-yyCS7e2DBY,Người chơi,Tập 2
"Tăng Phúc, Nguyễn Văn Chung, Huỳnh Quốc Huy: Không chấp nhận nghệ sĩ bệnh ngôi sao, không biết cư xử",9/30/2020,https://youtu.be/SywgHj30ANk?si=7Pwv3CC9sK2SSnLG,8saigon,Phúc kể được Huy chỉ cho là đi chào hết tất cả mng
GƯƠNG MẶT SHOWBIZ | GẶP TĂNG PHÚC - CHÀNG NHÂN VIÊN VĂN PHÒNG THÀNH CA SĨ TRIỆU VIEW,9/23/2020,https://youtu.be/xUKcREjIH6w?si=EBst_G_Azpxx2sJN,PV,PV cùng Quang Huy báo Thanh Niên: Trong này Phúc miêu tả bản thân khá đơn giản. Chuyện dùng mãi cái điện thoại cũ không thay - sau đó Huy kêu đổi mới đổi thì phải
